query,intent
어렸을때보고 가슴에 아직까지도 와닿네요아이들도보여주고싶은데어디에서볼수있는지,3
호스텔2서 '이 답답한 느낌의 캐릭터를 어디서 봤는데'라고 했더니 역시나 이 영화ㅎ,3
23년 지났어도 역시 명작.. 요즘 디즈니 왜그러나..ㅠ.ㅠ 라이언킹과 포카혼타스의 감동은 어디로..,1
역시 공자관감독 이다. 신인 여배우도 연기력을 최고로 올려주는 좋은 감독을 만나야 김연수씨 연기 좋네요. 어디 연기력 떨어지는 사람이 없네 훗..베드신은 살짝 부족하지만 재미있게 잘봤네요,3
아주 잘 봤습니다.. 근대 동이 마지막 장면에서 어디에선가 본듲한 장면이...,3
그런데 이 영화 어디에서 구할 수 있는지 궁금하네요. 빨리 보고 싶은데 이 영화.,3
잔잔하다 .내가 그를 어디서 보았는데 부모님? 주변? 혹시 나 자신?,3
근데 다시보구 싶은데 어디서 보죠,3
"이 영화에 출연한 배우는 단 4명 , 장소는 계속 저택 안 ,명작은 감독의 연출과 배우들의 연기로 결정된다.",3
이 영화 왜 볼 수가 없죠? 어디서도 볼 수가 없어요! ! !,3
"추억을 함께 했다는 것만으로,, 9점을 줄수 있는 ,, 나중에 주인공을 ""이너프"" 라는 영화에서 악역을 하던데.. ㅋ.. 그때의 꽃미남은 어디가고.. 세월아 가지마라...",3
"희대의영화 천재감독 쿠엔틴 타란티노가,킬빌의여주인공 블랙맘바(우마 서먼 분)의 라이벌 엘르 드라이버를 어디서 캐스팅했는지,알수 있다.영화의절반은 캐스팅,캐스팅만 제대로 마치면,나머지 절반은 다 이루어진거나 마찬가지...흥행은 하늘에 맡기고...(웃음)",3
마지막말이 와닿는다... 술먹고 봐주는게 어디잇냐 그럼술먹고 운전한건 안봐주고 술먹고 애를 저리만든건 봐준다고? 이말듣고 울컥햇다.;;;,3
가볍고 독특하다. 보고나면 기분좋아지는영화. 이런영화 또 어디없나?,3
ㅋㅋㅋ일본영화처럼소소하다는 말에 빵터짐..감동과재미를어디서찾아야할지..,3
그야말로 제목에충실하다 참슬펐다 김강우 에대한 일반인 묘사 현실적이고 좋았다 재벌보다더쓰레기같은일반인은 하녀가 잘묘사했네ㅋㅋ 진짜비웃어주고싶은 불쌍한인생 돈없이못사는세상에서 돈과자존감 사이의 균형지점은 어디일까 너무너무슬프다,3
"전 주요하게 가수로 알고 있었던 이정현씨가 연기 이렇게 잘하는줄 몰랐습니다. 이 여배우 진짜 장난 아니다, 어디서 봇듯 한데 왜 기억 안나나 했는데 이정현씨 였네요. 특히 미세한 표정연기 너무 귀엽고 이쁘고 자연스럽네요. 완전 반했음. ㅎㅎ",3
이토록 매력적이고 이토록 사랑스러운 여자가 또 어디 있을까.,3
이영화 다시 보고싶은데 어디에서 구할수 있나요 ㅠㅠ...정말 다시 보고싶은데..아시는분들 저에게 쪽지좀 부탁드립니다 hsj3549@naver.com,3
부러진화살은 어디를 향하는가,3
케이블 어디서 잠깐 봤는데 괜찮았음,3
보고싶다...어디서 구하나 ㅠㅠ,3
"어디에 있던지,언제까지나,계속 계속,계속~",3
인간사 새옹지마라 했던가. 숏 컷은 삶의 어디에나 있다.,3
카메라 워크 어지럽다고 4점 주는 애들 괴수영화 보는 이유가 뭐냐? 그 공포감 압도되는 느낌 이런걸 느낄려는건데 우주전쟁 평점테러범들도 그렇고 그저 엔딩 허무하고 시점이 민간인이면 재미없지? 어디 국방부 출동해서 괴물 쏴죽여야 재밌지?,3
애들이 우는장면 하나없는데도 가슴이 먹먹하다..아빠는 어디가고 엄마는 어디가고..어린나이에 가장이되고 엄마가 할일을 하는게 얼마나 힘들었을까.우리나라도 애들 다 잘먹고 잘지내고 있는거 같지만 복지카드로 편의점 삼각김밥만 겨우 사먹는 애들도 있던데 휴,3
윌이죽다니 아 잭스패로우 매력은어디까지냐 ㅋㅋ,3
"신비의법?아동청소년보호법?정말 신기하긴,시기하지.프로게이머가 국제경기중에,셧다운제 지킬라고,접속 끊고,G.G.를 선언할 정도니...이세상 그어디에도 없는,@신비의법@이긴 하다만...왠지 쪽 팔리네.역시...그따위법.여성 가족부나 지키고 살아라.(웃음)",3
어렵다. 대를 위한 소를 버릴 수도 있지만 그렇다고 그 소를 밟는 것 또한 정당화 되지 않는다는 것이... 군대 악폐습은 어디서도 인정될수 없다는 것...주연들의 빛나는 연기에 2시간이 짧게 느껴진 법정영화인듯,3
숀빈!!! 역시 어디서나 빛나는 아쟈씨!! 역시 이런 분위기에서 숀빈은 더 빛나는거 같아요~,3
정말 감동적이고 훈훈하고 연출도 잘한 영화이긴한데 세번쯤 보니까 케이트와 결혼한 케이스의 인생이 너무 미화되긴 했음. 물론 저렇게 행복하게 사는 사람 꽤 있지만 어디까지나 미국이야기 한국의 현실에서는 저렇게 못산다고 생각함,3
"히틀러도 인간이었고 어디서나 극단주의는 무서운 것이다, 사람은 중립적이고 객관적인 판단을 할 줄 알아야 한다독일인들의 이런 전쟁 후의 자세는 존경스럽기까지 늦겨진다",3
전화박스 키스씬 아직도 생생하다 어디 애절함... 그거 한번 느껴보라구,3
어디에 기대지 않는 순수한 스타일 이런게 거장의 손길이다.,3
재미는 있는데 집에 돌아갈때 시간만 우리시간때로 돌리고 어디로든 문으로 진구책상으로 가면됨 아주쉬운 방법있는데 ㅋ,3
봐도 봐도 명작. VOD살 수 있도록 해줬으면. 어디에도 없는,3
"이 정도면 괜찮은 영화라고 생각하는데, 어디까지 원하는지 참 할리우드급으로 해야하나.",3
"많은 사람들이 이 다큐를 보고 우리나라 슬픈 현대사의 한 단면에 대해 깊이 생각하고 사죄하고 바로 잡기 위해 노력했으면 합니다. 말로만 듣던 보도연맹, 그 민간인 학살이 이정도 일 줄이야. 이건 명백한 살인입니다. 살인자들은 다 어디있나요?",3
"뭐야 이영화 물대포랑 최루탄,, 최근 어디서 본 듯한 장면들??",3
이 드라마 꼭 다시보고 싶은데 어디서 어떻게 다시보기 할수 없을까요?꼭좀 가르쳐주세요.,3
보고싶은데 이거 어디서 구하죠? 흠... 보고파라..,3
"한정된 장소에서 배우들의 연기로만 채워진 영화, 화려하지도 자극적이지도 않은데, 너무 재밌다. 여운도 있다.",3
"어디서 이렇게 개성넘치는 배우들만 모아놨을까? 아이가 집안에 혼자 남아 있을때 좀 더 사이코패스적인 연출을 했더라면 이민기로 안보였을것 같다 , 너무 재미있게 봤고 씁쓸한 마무리도 좋다 . 다음 영화가 너무나 기대 된다",3
알 파치노 는 세일즈맨이 아니라 배우가 배우 연기한거고..그게 어디 세일즈맨인가..잭 레몬이 진짜 세일즈맨같은 연기를 한 영화,3
"기대안하고 봤는데 재밌네 ㅋㅋ 일본여자주인공 보구 어 어디서 봤는데 했는데ㅋㅋㅋ(얼마전에 봤던 야x) 이렇게 재미진 여자였다니 이런 케릭터 너무좋다. 한국 여자연기도 재미졌음, 개콘 멘붕스쿨에서 어설픈연기하는 학생이랑 말투 완전 똑같아 ㅋㅋ",3
"차분함 속에,, 우리 인생은 어디서 와서 어디로 가는가???",3
주님은 어디계시나이까,3
어디서봐야되나요? ㅠ 아직 쿡티비에도 안나왔던데 선전만하구~~ 사고만치던 강인 이제배우변신하나요? 그냥 왠지 먹먹한날엔 이런한가한 영화보고싶은데 실제로보면 진짜 지루하고 잼없을까? ㅋㅋ정겨운씨 완전 멋지게나오던데 아~~뿔테안경 기럭지,3
어디 이런 애니 또 안나오나?,3
최고의 힐링 프로그램~♥ 아빠어디가에 나오는 아이들은 어떻게 하나같이 다 천사같고 예쁘죠?ㅠㅠ? 넘 사랑스런 이 아이들이 항상 지금처럼 밝고 건강하게 자라기를! 아빠들의 아이를 향한 사랑도 매번 마음을 참 따뜻하게 해주네요 고마워요 아빠어디가ㅠㅠ!,3
팀 버튼의 무한한 상상력은 어디까지인가,3
"평점 한 번 OO도 풍년이다. '초한지 영화판' 하면 서초패왕, ''수호지 영화판' 하면 수호전지 영웅본색. 그 이상 이하 어디 있다고. 외전격 이상이고 임충과 노지심 캐릭터 충분히 잘 살린 수작이다. 네이버 수준 감안해서 최소 8",3
이영화보고싶은데 ㅠㅠ 어디서 봐요? ㅠㅠ 찾을수가없어요ㅠㅠ,3
이머고가 아니라 이머꼬?임 어디서 개봉해,3
이거어디서사나용?ㅋㅋㅋ진심,3
"수OO이 지나도,, 명작이다. 사람사는 모습은 어디다 언제나 같다",3
어디를 봐도 이런 영화 없을 듯 합니다. 꼭 한 번 보세요.,3
이 영화 어디서 보죠? 꼭 보고 싶은데 아시는분 제네이버메일에 주소좀...,3
다시 보고싶은...어디서 CD로 구입할 수 없을까요?,3
"""정상""이란 무엇이며, 나는 어디에 있는지, 다시한번 생각해주는 부드러운 가르침 감사합니다.",3
83회 장서희흰색카라검정원피스어디제품인가요???,1
어디서부터 밀려온지 모르는 파도처럼점점 거대해지는 감동이 파도처럼 부셔진다,3
진짜 잘 만든 영화. 제한된 장소인데도 엄청난 긴장감이 있다.,3
아빠 어디가 봤으면 익숙할것입니다. 재미 보장합니다.,3
나도 다시 보고싶은데 어디서 구할 수 있을련지..,3
한번 더보고 싶은데 대체 어디가서 봐야하는지..,3
이상하다... 난 왜 재밌게 본걸까? 내가 어디 잘못된건가 싶을정도로 평점이 몰려있네 ㅠㅠ,3
"홍콩에서 가장 유능한 감독 유위강, 당시 최고의 배우 정이건, 만화계의 절대적인 위치에있던 마영성의 작품이 만난 최고의 무협영화 <당시 기준으로>",3
보고 많이 울고 감동했던 방송이죠. 참 서민의 본질을 일께워주고 사람의 다양한 감정을 발견하게됩니다 지금은유투브에서나 만나뵐수있군요 아참 지인에게 촬영정보제공우려로 장소바꿔서 촬영하란의견은 인터넷이 댓글왕국 대한민국에겐 통하지 않음 지인 매장...,3
뭐..특별한 말이 필요한 영화인가..? 그냥 명작.....러시안 룰렛 장면은 두고두고 회자되는 명장면중 하나이고......너무나 강렬한 장면이기에 이 영화를 안봤거나 모르는 나이대의 사람들도 지나가다가도 어디선가 한번은 봤을듯...,3
나의 이상은 어디갔는가.,3
"보고 싶은데, 아래님들 대체 어디서 보신건지 ㅜㅜ",3
또 보고싶다.. 어디서 상영 안하나,3
장소가 학교이다보니 학교에서만 벌어지는 일인줄 알았지.사실은 사람에 대한 이야기.,3
정채성에 대해 생각하게 되는 영화....나의 정체성은 어디인가부터 관객과의 만남으로 인해 더 자세히 알게되었습니다.,3
이거 어디서 볼수 있나요?,3
오랜세월이 흐르면 영화의 촌스러움이 묻어나기 마련인데 이 영화는 몇번을 봐도 언제 어디서든 어느나이때도 봐도봐도 질리지 않는다 ~~내가 생각한 영화중에 명작임,3
언젠간 먹고 말거야!! 어디서 듣던 말인데... 치토으 ㅅ 아닌가!!! ㅋㅋ,3
"재개봉 26일 아닌가요? 며칠째 검색해봐도 어디서 하는지 나오지도 않고ㅠ 류이치 사카모토의 음악과, 젊은시절의 모습을 볼 수 있는 좋은기회라 기대하고 있었는데",3
"이 순간에도, 어디선가 저런 아이들이 있겠지..",3
"내가 지금 뭘 먹고 있는지 매순간 확인하게 됨. 적은 비용으로 더 많은 고기를 생산하려는 욕망은 어디서 비롯되었는지, 우리는 왜 몸이 필요한 것 이상의 고기를 먹고자 하는지? 까지 간다면 더 좋았을 것 같았다.",3
좋다..ㅠㅠ그냥 좋다..음악 영상 스토리 이딴말하지 말고 그냥 좋다 해라..ㅠㅠ어디서 똑똑한척이야 그냥 드림웍스만의 매력이 좋다하는게 맞는거지.ㅠㅠ 너무 좋아서 눈물이 난다 ㅠㅠ,3
세상 어디에도 없던 영화,3
이거 어디서 다운 받죠?,3
83년대 국산 애니메이션 중 보석같은 작품중의 하나 입니다. 이런 애니메이션이 계속적으로 만들어 질 수 있는 환경이었다면 현재 우리나라 애니메이션은 어떤 위치에 있게 되었을까요....,1
처음으로 영화관에서 봣던 영화예요ㅎ 완전 잼잇는데 어디서 다시볼수잇을까요ㅠ,3
오랜만에 영화보고 울었다.자이언트가 어디서 무슨목적으로 지구에 왔는진 중요하지 않다. 자이언트는 올바른 길을 선택했고 슈퍼맨이 되었다. 결국 상황이 어떻든 내가 옳은 판단을 하면 되는거다. 이렇다 변명따위 필요없이 나는 내가 선택한대로 된다.,3
인간이 세상모든것의 전부인 것처럼 자만한 아니 더 정확히 말하면 무지함에 대한 일깨움과 겸손이 코스모스의 메시지입니다과학이 밝힌 진실은 끝이 어디인지 모르는 거대한 코스모스에서 지구와 그 안에 있는 인간은 하나의 먼지나 마찬가지라는 것입니다,3
홀연히 찰리의 목숨만 구해주고 떠나는구나..어디로 갔을까,3
아... 다시보고 싶은데 어디서 다시보지?USB에 넣고 싶은 3인. 하지만 이 영화는 상상을 초월할 만큼 위대하다고 생각하는 3인. 최고의 영화라고 평가한다.,3
"요즘 드라마도 홍수, 예능도 홍수라 오히려 다 거기서 거기라 식상하다 그래도 아빠 어디가는 넘 신선하게 다가왔고 따뜻하고 진솔해서 좋았다 그냥 웃고떠드는 예능이 아닌 3년동안 아이도 아빠도 변화하고 성장하는 과정을 자연스럽게 보여주는 참 좋은 프로다",3
아이고 개죽이 지금쯤 어디있니,3
snl팬입니다 그중에서도김민교님 너무좋아요ㅠㅠ 능청스러운연기 정말 매력적입니다 팬카페어디없나요..ㅠㅠ 언제나화이팅!!,3
진짜 대박이다처음엔 뭐지? 하고보다가어느새 샐리의 마음이 되어 있었다역시 스필버그구나 느낀 대작임그리고 소피아어디서 본 사람인가싶더니오프라 윈프리였음ㅎ,3
짚신도 짝이 있다? 황당커플의 어디로 튈지 모르는 데이트. 재밌었던영화.,3
정말 너무 좋아서 말로 표현을 못하겠네요...케이블로 뒤늦게야 보게되다니!! 한 장면도 놓치기 싫은 최고의 시트콤!! 극중 현우같은남자 어디 없나요 ㅠㅠ,3
내친구도 김희선 같은 사람 있었으며 좋겟다 ㅋㅋ싸움 엄청 잘하네 ㅋㅋ 어디서 많이 놀아봄 솜씨다,3
억지 감성팔이하는 어디의 영화들 보단 훌륭하다,3
아빠 어디가 시즌3을끝난다고 생각하니깐 너무아쉬워요우리준수보고싶어서 어떡해요 난준수가 남자다움의모습을보여줬고 나름애교도 보여줬었는데 막상준수가 나간다고하니깐 너무아쉬워용ㅠㅠ,3
돈을 많이 가지게 되면은 섹스와 마약에 중독되서 최후에는 비참하게 끝나고 인간이 성적으로 어디까지 타락할수 있는지 영화에서 잘 보여주는거 같다. 영화에서 심하게 선정적인 장면이 많이 나온다.하지만 3시간이라는 러닝타임이 지루하지는 않다.,3
찬형이.리환이. 민율이. 세윤이 이뻐..후는 예전에비해..넘 커서..잼없어..방송을 넘알아버린듯..빈이도 별로..매럭없음 아빠어디가3회부터 쭈욱 본방사수 했는데 후와빈이는 나갔으면 좋을듯,3
대체 어디서 군국주의 미화가 나왔다는 건지?,3
어디서보는거지 이건.,3
미국 함장으로 나온 스콧 글랜 어디서 봤다 했더니 김갑수,3
아빠어디가팬이이여서 13으로달아드려용!!솔직히1이진짜~훨씬잼섰어요 준수너무너무보고싶어요...준수한번만이라도 나오게해주세요!! 예전맴버들다그립다.... 후도진짜좋아서 후나오니깐좋아요!! 후예전엔인기쩔어서 분량짱이엇는데 요즘은 민율이분량이많은듯,1
어디 구할데 없나 이거 진짜 다시 보고 싶다,3
솔직히 말해서 쩔었다.. 처음부터 끝까지 어디로 튈지 모르는 이야기 그리고 열린 마무리...ㅋㅋ,3
팬으로서 좋은 경험이었습니다. 좋아하는 그룹의 진솔한 모습을 보고 싶어하는 팬들에게 이보다 더 좋은 것이 어디 있을까 생각합니다.,3
"요즘 뉴스만 들어도 멘탈유지하기 힘든 대한민국 현실속에서, 늘 미국이었으면 어떻게했을까? 이민가면 행복할까? 하고 고뇌했었는데, 이 영활보고 생각이 바뀌었다. 어디나 빛이있고 그림자가 있다는것. 강대국은 그 그림자를 약소국에 드리우고 빛만 취했을뿐.",3
너무 오래되서 기억이 안난다. 최민식이 어디서 나온지..,3
이 영화 메가박스 어디에서 해요,3
어디선가 스포를 들어서 꼭 보고 싶었지만 안봤던 영화를 이번에 꺼내어 보았다. 알고 보게되니 중간중간 복선을 캐치하는 재미가 있었다. 반전을 몰랐으면 좋았을텐데.,3
너무 재밋엇는데... 어디서 다운받지 ㅠㅠdvd라도 소장하고싶삼,3
아ㅠㅠ윤동하를보내야되다니너무슬프네요ㅠㅠ저런완벽한남자는이세상어디에가야있나요ㅜㅜ 둘이 이렇게 케미가 잘 맞을줄은 몰랐는데 보는내내너무행복했어요반땡자알바윤둘정말잊지못할꺼같고....흑흑드라마끝나지마잉!!!!ㅠㅠㅠ 정말재밌는드라마엿어요ㅠㅠㅠㅠ최고♥,3
아빠어디가~^^짱 겁나 잼있어요~~ 아빠어디가 대박나세요~~ㅋㅋ,3
어디서 보나요 ㅜㅜ,3
배경도 좋고 영화속 심리 표현도 좋구 레오 연기도 좋구 ~~보고 나서의 감정의 후폭풍이 ~~~인생에 있어 낙원은 어디인가 를 잘표현해준거 같네요,3
이 영화 비디오 어디 구할곳 없나요? ㅠㅠ,3
나도이거마늬 받어요~또보고싶은데 어디서봐야하는지 ㅜㅜ,3
인생의 유효기간을 선고받은 중년가장이 한계라는 의미를 과연 어디까지 늘릴수있을까,3
남궁민씨 이소연씨 캐미 좋구작가님도 글 재밌게 잘 쓰시는듯!^^조연 맡으신 분들도 어디서 이렇게 깨알 캐스팅을 해오셨는지ㅋㅋ아영이가 노래 부를 때 빵 터졌네요너무 재밌게 잘 보고있어요막장으로 가지 않게만 해주세요응원합니다!!화잇팅!,3
그냥 옛추억에 빠진다..진짜 빠진다...그러나 배신은 어디나 따른다 우리또한 그랬다..우리?ㅋㅋ지금생각하니 웃기군 지금 방송에서 헤벌떡웃는 모습 역겹다...주저리주저리,3
엔딩에 노래제목좀.....ㅠㅠ 배우김형규씨는 어디로간걸까요?? 아시는분?????,3
소울도 엄마도 행복했으면 합니다. 캐나다에서 태어난것도 한국에서 자라게 된 것도 자신이 선택한 삶은 아니지만 그 어디에서나 가족이 함께 한다는 것이 전 행복이요. 큰 힘이 된다고 생각합니다. 두남매가 자라면서 문화적 충격에 마음 고생 많앗습니다.,3
소설과 별개로 보자면 이 영화는 우리나라 최고의 영화입니다.좌우익의 대립과 우리나라의 영혼을 보여주는 영화는 또 어디있는가?게다가 영혼이 느껴지는 배경음과 갑수의 연기까지.한국인으로써 필수로 봐야함.진짜 여운이 남습니다.우리나라의 영혼이 느껴질거임.,3
"정말로 이건 인생영화다. 항상 일상에 치여 잊고 살지만, 내가 나로 빛나는 방법을 잘 아는건 다른 누구도 아닌 나라는 것을 보여준 영화. 어디에 있든지 나는 나니까. “그냥 이 순간에 머물 뿐이다” 라는 숀의 대사가 마음에 와닿는다.",3
이런 스릴러를 한정된 장소에서 뽑아낼 수있다니...감독이 대단하다고 느끼고 주인공 배우도 대단하다!!,3
내평점너무 가슴이 아프다. 인간의 허영심과 이기심은 대체 어디가 끝일까. 정말 보호소 3년 후 박사가 왔을때 너무나 좋아서 껴안고 수화로 대화나누고 좋았던데. 그게 마지막이 될줄은. 차라리 오지나 말지. 그나마 밥아저씨가 친구가 되어줘 정말 다행..,3
영화찍은 곳들 어디지 흠.,3
여기가어디요?,3
"초반에 아들,딸 존나싸대기 때려서 어디다 묶어놨어야한다!",3
선택권이 없는 자의 무기력한 죽음이 닿는 곳은 어디일까?,3
나만의 프랑소와는 어디에,3
아 진짜 감동감동ㅠ출연배우들의 완벽한연기! 특히 정재 오빠한테 또 반해버렸다 너무 잘생겼다. 마지막 엔딩곡은 스웨이드의 beautiful ones!내가 너무 좋아하는 곡인데 엔딩으로 나와서 깜짝 놀랬다. 내용도 배우도 연기도 어디하나 나무랄 데가 없다,3
정녕 영화와 인생의 로즈버드는 어디에? 오락만 추구하는 영화는 영화가 아니다.,3
난 이런 병맛 같은 영화가 좋다. 매력있는 캐릭터의 집합소이며 어디로 튈 지 모르는 인물들과 스토리에 빠져 들어감. 휘몰아치는 이야기 전개 아니라서 좋고 흔하디 흔한 악역과 갈등 뭐 이런 거 없어서 식상하지 않음. 웃긴데 뭔가 안 웃겨서 좋음,3
"언더그라운드.. 비단 유고만의 이야기일까... 어떻게에선 호불호가 갈릴지 모르겠지만, 어디에 서 있더라도 무엇을 바라봐야 하는지를 정확히 아는 감독인 것 같다. 에밀 쿠스트리차",3
정도전 포스터 어디서 다운로드 받아요 ㅠㅠ,3
별 13점이다. 어디까지나 OST 한정.,1
이영화 어디서 못구하나요??,3
라이오넬은 어디로 갔을까? 그를 찾고 싶다.,3
"이런 배우, 이런 영화를 어디서 또 만날까",3
민족반역자들은 어디에나..,3
지성의 매력과 연기력이 어디까지인지 생각하게 만드는 드라마♥♥♥,3
우리네 삶은 어디에서 와서 어디로 갈까?라는 질문을 스스로에게 던져보게 만들어주는 작지만 소중한 영화! 그냥 현실에서 최선을 다하면 그게 바로 행복일듯!,3
너무 오래되서 기억이 안난다. 최민식이 어디서 나온지..,3
정말 재밌다!!!! 코미디영화에 이보다 더 좋은 말이 어디있을까,3
"36년동안 사랑했던 사람이 한 순간에 없어지고, 그가 태워졌는지 묻혀졌는지 그가 묻혀있다면 그곳은 어디인지 그와 함께했던 추억이 가득한 강아지들도 없이 그렇게 남겨진다면 당신은 어떤 느낌일까.",3
정말 가슴따뜻해지는 감동... 저 진짜 이거 어디서 수소문해서 소장하고 있습니다.,3
"소재도 재밌고,긴장감넘치고,장소의한정과 후반스토리탄탄성이 아쉽긴하지만 전재밌게봤습니다.",3
쓰다가 날아갔다 ㅠ 간단하게 다시 쓰자면 정말 지정된 한 장소 안에서만 대사로 풀어가는 이야기. 너무 신선하고 재미있었다!!!,3
어디서 볼수 있나요,3
동굴이라는 폐쇄적인 장소에서의 공포를 효과적으로 잘 표현한 작품. 초반부터 중반까지는 어두운 동굴이라는 근본적인 공포를 중반부터 후반까지는 괴물과의 사투를 슬래셔로 잘 표현했다. 의외의 오락성도 발견할수있으니 갖출건 다 갖춘셈.,3
동굴이라는 폐쇄적인 장소에서의 3를 효과적으로 잘 표현한 작품. 초반부터 중반까지는 어두운 동굴이라는 근본적인 3를 중반부터 후반까지는 괴물과의 사투를 슬래셔로 잘 표현했다. 의외의 오락성도 발견할수있으니 갖출건 다 갖춘셈.,1
평점주기전에 시즌오브더위치 보고올것..시즌오브더위치보다 평점이 낮다니 말도안되,3
두 배우가 하나가 된 듯한 스토리진행과 연기.분명 어디선가는 저런 사랑이 꼭 있을 것만 같았던 영화마지막 삽입곡 '남쪽으로간다'가 매우 어울렸던... 하지만 마지막까지도 뭔가를 생각하게 하는 영화.,3
쓰인 배경 장소는 적은 편이지만 그 안에 충분한 스토리와 긴장감을 잘 담아낸 것 같다. 배우들 다 잘생겼다.. 디카프리오 는 이때 우리 나이로 22살 오빠. 가족이랑 보기엔 약간 민망한 장면이 짧게 나오는데 괜찮음 그리고 재밌음!!,3
유치원 다닐때 봤어도 재밌었다.. 어디 다시볼때 없나? 어릴 떄 박중훈 참 좋아했는데...,3
"알수없는존재와 장소,촬영기법을 통한 긴장감과 공포분위기가 되게 좋음 귀신나오는거나 대놓고 무서운거 좋아하는사람한텐 비추",3
"알수없는존재와 장소,촬영기법을 통한 긴장감과 3분위기가 되게 좋음 귀신나오는거나 대놓고 무서운거 좋아하는사람한텐 비추",1
"""로망은 어디에!!"" 각색되긴했지만... 재미있었음!! 책도 꼭 보시길 추천합니다~!!",3
"우리나라 공포영화의 전설이라 할만하다. 국수장면, 목이 돌아가는 장면, 할머니에 귀신이 빙의된 장면은 극악의 공포를 선사한다. 오늘날 CG에 좀 더 세련된 구상을 엮으면 세계 어디에 내놓아도 OOO 않을 것..",3
와 어디서 본 포스터다 했더니 키보드워리어들깔때 그 짤이네 ㅋㅋㅋㅋ,3
이동욱같은남자 어디 없나요 ㅋㅋ,3
전 잼있던데요. 견자단도 멋지고.. 연비아도 연기 잘하고.. 견자단 오버연기 없었는뎅.. 단지 연비아의 치아가 눈에 좀 거슬리더군요. 연기랑 음악이랑 장소랑 패션들이 좋았어요.. 갑옷이 너무 탐나더이다..,3
"감동적이고 매우 잘 만든 영화, 그리고 배우들의 연기가 돋보이지만, 어디선가 본 듯한 장면이다..",3
개인적인생각으로 최근 흥행해서봤던 영화들중 몇개만빼고는 비슷한장르에 비슷한스토리에 어디서본듯한 느낌이 많이들었다 하지만 이영화는 노래 영상 스토리 전개 결말 엔딩후 먹먹해지는 느낌 어느것하나 빼놓을게없다 이 영화는 감독에게도배우에게도 잊지못할최고작일듯,3
어디서 저런 주연 두 명을 구해왔는가? 일본영화가 부활했다!,3
"영화를 보다보면 자연스레 외계생명체가 어디서왔으며 누구일까.. 에 촛점이 맞춰지는게 아닌 앞으로 사람들이 어떻게 변할까? 에 촛점이 맞춰진다. 즉, 이 영화는 감상 포인트가 다르다. sf가 아니라 심리 스릴러가 맞다.",3
아니이거 넷상에서못봄?어디서볼수잇는겨..,3
다시 보고파 어디서 구할수 없을까요..?? 내 기억속에 오래오래 간직된 보물상자예요,3
첫사랑이란 대체 남자의인생에 어디까지 쫓아다니는걸까... 결국 주인공은 첫사랑을 포기해야만했다이런 심란함과 감동을동시에주다니 경이롭다,3
어디까지고 닿을 수 있는 끈. 슬프다.,3
왜 7점대??? 지금봐도 잼있는데...이만한 스릴러가 어디있다구... 주제가도 좋고 말이고~,3
희망을 짓밟는 사람들은 어디에나 있네요. 슬프면서도 다시 한번 소망하는...,3
영화속의 영화는 영화속의 현실이되고 그 현실이 영화로 만들어 졌다면 우리가 보는 영화는 어디에서부터 어디까지일까요? 현재속에 숨어있는 과거들 과거속에 숨어있었던 현재들 수많은 장치들을 찾아보는 것도 이 영화가 가지고 있는 즐거움 아닐까요? 좋았습니다.,3
DVD로 구매하신분들 어디서 구매하셨어요? 보고싶어 찾아봐도 없어서 여쭤봅니다.,3
"아 이 영화 다시 보고 싶다..어디서 보나,,,",3
넘 재밌었음ㅋㅋ엔딩 땜 헷갈리지만 환상의 그대가 어디있소? 서로 노력하며 사는거,3
매염방 누님은 어디에 나오나요?? 찾아봐도 안보이던데...,3
어디서 볼수있는곳 없을까..참 추억의 영화,3
보고싶은데 대체 어디가서 봐야되나요ㅡ ㅡ 우리동네는 죄다 안하던데,3
옛날에 봣던거라 기억도 안나고 잇엇는데 수련회가서 보여줫는데 어디서 본내용이어서 물어보고 찾아봣는데 봐던거네 새롭다,3
"기자 평론가들의 평점을 보며, 이들이 얼마나 중국에 대한 이해와 정보가 부족한지 느끼게 된다. 중국 대도시에서 흔히 일어날 법한 정말이지 현실적인 배경과 장소, 그리고 인물들....처음에 이 영화를 봤을 때 저 여배우가 이리도 크게 될지 정말 예상못함",3
"흑연비수, 합기도 어디서 볼수 있나요? 갈켜주세요.",3
파격적인 소재를 나른함으로 다가간. 여백이 매력인 영화. 시간이 멈춘 듯조용히 흘러가는 장소에서 같은 듯 다른 연인을 대하는 어머니라는 여자,3
ㅉㅉ 3점준것들 니들이 영화 만들어 봐라 어디서 개멋 만들어서 ㅉㅉ 개인적으로 언더월드 시리즈중에 제일 재미 있구만,3
이 드라마 어디서 볼 수 있나요?! 어디서 보는지 아시는분 제제발 알려주세요ㅠ,3
이런멋진신인을어디서!!^^ 시나리오가좀아쉬웠지만감동적임,3
세계 어디서나 정치 경제 문화 사회 전반에 걸쳐 변화가 절실한 상황이지만 변화를 가져올 방법이 없다는게 함정인 것 같다...,3
예상하지못한 반전이 아니였음에도 불구하고마지막장면에서 눈을뗄수가없었다음악 장소 연기 표정 연출까지 모든게 완벽 그자체,3
이 영화는 영화관이 아니라 비오는 날 늦은 오후 '집'에서 알리오 올리오 먹으면서 포도주 아닌 커피 홀짝이며 '혼자' 봐야하는 영화다. 그럼 알 수 있다. 사람이 3.5시간 만에 어디까지 우울해질 수 있는지.,3
